birth,death,raw_death,edge_id
0.0,0.19127171964489703,0.0001649935132788105,30
0.0,0.19154641382679224,0.00016523046811056652,25
0.0,0.19856335933173858,0.00017128337804150906,22
0.0,0.20355162755157202,0.0001755863241346134,318
0.0,0.20673524413561084,0.00017833255387578184,298
0.0,0.22458046571828674,0.00019372607786161122,248
0.0,0.2281660933516815,0.000196819087647071,85
0.0,0.23304021079999243,0.000201023565776004,279
0.0,0.24303978452297376,0.0002096493302272684,112
0.0,0.24634518435118485,0.00021250061180438928,76
0.0,0.24736874687907873,0.0002133835503687065,90
0.0,0.2500974793029765,0.00021573739102143108,265
0.0,0.25056492511147105,0.00021614061595376377,358
0.0,0.26246269526445165,0.00022640378973276531,84
0.0,0.2710051434539653,0.00023377261844098607,88
0.0,0.2930323779815177,0.0002527736020639937,70
0.0,0.29679382385439135,0.00025601827498650254,35
0.0,0.2984162690369435,0.00025741781764376803,285
0.0,0.3082583061821123,0.0002659076889609535,305
0.0,0.3097226915413259,0.00026717088712563397,102
0.0,0.3104971442164492,0.0002678389402386294,229
0.0,0.3124174187792719,0.0002694953944555323,167
0.0,0.31506105108155164,0.00027177582661863653,288
0.0,0.3202691421382889,0.00027626839479610865,66
0.0,0.34520540119130066,0.00029777874142145055,277
0.0,0.35436955603471054,0.0003056838625060121,58
0.0,0.35471843613565673,0.00030598481109200826,156
0.0,0.3720728275844378,0.00032095493851735934,259
0.0,0.38059646106126926,0.0003283075374057587,52
0.0,0.3892799381377829,0.00033579801949579213,351
0.0,0.39205660897488354,0.00033819321245731615,62
0.0,0.4083472687626255,0.00035224575089320975,357
0.0,0.42090267362924677,0.0003630762090677253,261
0.0,0.4312630343855884,0.00037201319318225234,294
0.0,0.4421261775824719,0.0003813838840749373,355
0.0,0.44384863185975043,0.0003828696958990685,96
0.0,0.45389265985117433,0.00039153380718981445,37
0.0,0.4601337573057104,0.0003969174603385972,41
0.0,0.4632378343250484,0.00039959507820003237,21
0.0,0.4669319154038015,0.0004027816413608165,92
0.0,0.47745699243697,0.0004118607119126816,239
0.0,0.48413456552577666,0.000417620874712199,287
0.0,0.48634753480048104,0.00041952981125592537,80
0.0,0.5068663903735802,0.0004372296472575643,347
0.0,0.5396762013939675,0.00046553182386954717,171
0.0,0.5649319783522821,0.0004873177908628623,48
0.0,0.5778054577092137,0.0004984226242965017,29
0.0,0.5960828506331165,0.0005141889449929993,110
0.0,0.6160692216134553,0.0005314294527474228,108
0.0,0.6977985926030741,0.0006019302883266686,243
0.0,0.7054819112873729,0.0006085580205691388,26
0.0,0.7095565594122305,0.0006120728658935981,46
0.0,0.7111758467868176,0.0006134696845839782,55
0.0,0.784528672349579,0.0006767448013706989,107
0.0,0.7866217132657549,0.000678550286127344,94
0.0,0.8276895039076356,0.0007139759051011385,230
0.0,0.8637186641900914,0.0007450551349346135,232
0.0,0.8655913072766023,0.0007466705016105357,100
0.0,0.8925421281002328,0.0007699186358443577,40
0.0,0.8934059135274166,0.000770663748569933,227
0.0,0.8995178168499469,0.0007759359571529734,77
0.0,0.9025120122485899,0.0007785187896761636,44
0.0,0.9620552218234347,0.0008298815491990519,74
0.0,0.9708723673219153,0.000837487335436482,103
0.0,0.9836514667357713,0.0008485107554838667,95
0.0,1.0038240869442059,0.0008659119242839797,133
0.0,1.021543522192573,0.0008811969433153988,28
0.0,1.1692285017858035,0.001008591958568228,104
0.0,1.2168938335335293,0.0010497087036953068,106
0.0,1.3898849562587834,0.0011989331324685493,72
0.0,1.4759236802293076,0.0012731512728830219,105
0.0,1.4779462955723275,0.001274896007609494,18
0.0,1.4860585306380458,0.0012818937287912835,182
0.0,1.506666056230706,0.0012996700527236893,50
0.0,1.5119371100858217,0.0013042169334431808,161
0.0,1.5308268401696679,0.0013205114642667048,228
0.0,1.5534237018304817,0.0013400038157832528,32
0.0,1.634606398170093,0.001410033082584361,175
0.0,1.8540695609738234,0.001599344907319833,142
0.0,1.8552069634882737,0.0016003260457611024,361
0.0,2.1014791845670215,0.0018127637184823797,109
0.0,2.1133296688426437,0.0018229861028386252,9
0.0,2.302941710806943,0.001986547956215279,19
0.0,2.311931211331374,0.001994302418175997,237
0.0,2.352954739088897,0.0020296898554007514,137
0.0,2.6470380987104463,0.0022833700481175723,121
0.0,2.6932724943178767,0.002323252448818286,2
0.0,2.781734750583271,0.0023995611602205535,169
0.0,2.8194456647961665,0.002432091093221067,114
0.0,2.8412394537875714,0.002450890703639297,117
0.0,3.169914332849424,0.0027344099981987946,130
0.0,3.377779367997129,0.002913717124733317,231
0.0,3.4329951698557815,0.0029613470051677027,235
0.0,3.4730969528476963,0.0029959393331755457,162
0.0,3.59593446732724,0.003101900596628626,185
